exp,id,exp_type,condition,resp,correct_resp,correct,number_faces,validity,rt
1,0,witness,congruent,1,1,1,1,0.30000000000000004,0.886080000000002
1,0,witness,congruent,0,0,1,2,0.41300000000000003,1.76708
1,0,witness,congruent,0,0,1,1,0.43700000000000006,1.06072
1,0,witness,congruent,0,0,1,0,0.41300000000000003,0.844300000000003
1,0,witness,congruent,0,0,1,0,0.41300000000000003,0.647059999999998
1,0,witness,congruent,1,0,0,0,0.41300000000000003,0.639520000000004
1,0,witness,congruent,0,0,1,2,0.41300000000000003,2.6936000000000098
1,0,witness,congruent,1,1,1,2,0.41300000000000003,1.147
1,0,witness,congruent,1,1,1,0,0.41300000000000003,0.511800000000003
1,0,witness,congruent,0,1,0,0,0.41300000000000003,0.633740000000005
1,0,witness,congruent,1,0,0,1,0.406,0.9222400000000051
1,0,witness,congruent,1,1,1,1,0.30000000000000004,0.8631399999999989
1,0,witness,congruent,1,1,1,1,0,1.56494
1,0,witness,congruent,1,0,0,0,0.04600000000000004,0.6802400000000051
1,0,witness,congruent,0,0,1,1,0.43700000000000006,1.1251600000000002
1,0,witness,congruent,1,1,1,2,0.41300000000000003,0.897360000000001
1,0,witness,congruent,0,0,1,2,0.22699999999999998,2.1520799999999998
1,0,witness,congruent,0,0,1,0,0.41300000000000003,0.718
1,0,witness,congruent,1,1,1,0,0.04600000000000004,0.858119999999995
1,0,witness,congruent,1,1,1,1,0.406,1.11675999999999
1,0,witness,congruent,1,1,1,0,0.41300000000000003,0.888800000000003
1,0,witness,congruent,1,1,1,1,0.406,1.8793200000000099
1,0,witness,congruent,1,1,1,1,0.406,1.2578
1,0,witness,congruent,0,1,0,1,0,1.70320000000001
1,0,witness,congruent,0,0,1,0,0.41300000000000003,0.736940000000002
1,0,witness,congruent,1,1,1,2,0.41300000000000003,0.9565199999999899
1,0,witness,congruent,1,1,1,1,0.30000000000000004,0.723059999999998
1,0,witness,congruent,0,1,0,0,0.04600000000000004,1.04067999999999
1,0,witness,congruent,0,0,1,1,0.43700000000000006,1.01538
1,0,witness,congruent,0,0,1,1,0.30000000000000004,1.45551999999999
1,0,witness,congruent,0,0,1,1,0.43700000000000006,1.7155
1,0,witness,congruent,1,0,0,2,0.31799999999999995,1.21623999999999
1,0,witness,congruent,1,1,1,1,0.406,0.898619999999995
1,0,witness,congruent,1,1,1,1,0.406,0.793700000000012
1,0,witness,congruent,1,1,1,2,0.41300000000000003,1.8510799999999898
1,0,witness,congruent,0,1,0,1,0.43700000000000006,0.874920000000013
1,0,witness,congruent,1,1,1,0,0.41300000000000003,0.6437000000000119
1,0,witness,congruent,1,1,1,2,0.41300000000000003,0.9177799999999989
1,0,witness,congruent,1,1,1,1,0.406,0.655920000000013
1,0,witness,congruent,1,1,1,2,0.31799999999999995,1.07995999999999
1,0,witness,congruent,0,0,1,1,0.43700000000000006,0.791660000000003
1,0,witness,congruent,1,0,0,1,0,0.757140000000014
1,0,witness,congruent,0,0,1,2,0.41300000000000003,1.46123999999999
1,0,witness,congruent,1,1,1,0,0.41300000000000003,0.801200000000012
1,0,witness,congruent,1,1,1,0,0.41300000000000003,0.6088599999999861
1,0,witness,congruent,0,0,1,0,0.04600000000000004,0.818660000000003
1,0,witness,congruent,1,0,0,1,0,1.6787999999999899
1,0,witness,congruent,0,0,1,2,0.41300000000000003,1.34792000000001
1,0,witness,congruent,0,0,1,1,0.30000000000000004,1.21364000000001
1,0,witness,congruent,0,0,1,1,0.43700000000000006,1.01179999999999
1,0,witness,congruent,0,0,1,0,0.41300000000000003,0.696880000000005
1,0,witness,congruent,1,1,1,0,0.41300000000000003,1.0222200000000001
1,0,witness,congruent,0,0,1,1,0.43700000000000006,1.00332000000001
1,0,witness,congruent,0,0,1,0,0.41300000000000003,0.563279999999999
1,0,witness,congruent,1,1,1,1,0.406,1.3554599999999901
1,0,witness,congruent,1,0,0,0,0.41300000000000003,0.566100000000006
1,0,witness,congruent,0,1,0,2,0.22699999999999998,1.09662
1,0,witness,congruent,1,1,1,2,0.41300000000000003,0.911679999999993
1,0,witness,congruent,1,1,1,0,0.41300000000000003,0.5257000000000119
1,0,witness,congruent,1,1,1,1,0.406,0.662880000000005
1,0,witness,congruent,1,1,1,1,0.406,0.6041799999999931
1,0,witness,congruent,1,1,1,2,0.41300000000000003,0.8614200000000131
1,0,witness,congruent,0,0,1,2,0.41300000000000003,0.836440000000002
1,0,witness,congruent,1,1,1,1,0.406,0.672220000000001
1,0,witness,congruent,0,0,1,1,0.43700000000000006,0.8927200000000011
1,0,witness,congruent,0,0,1,0,0.41300000000000003,0.712179999999993
1,0,witness,congruent,0,0,1,2,0.41300000000000003,1.0871599999999702
1,0,witness,congruent,0,0,1,1,0.43700000000000006,0.985580000000016
1,0,witness,congruent,1,1,1,0,0.04600000000000004,0.743380000000005
1,0,witness,congruent,1,1,1,2,0.31799999999999995,0.888419999999984
1,0,witness,congruent,1,1,1,2,0.41300000000000003,1.18976000000001
1,0,witness,congruent,1,1,1,1,0.406,0.802619999999995
1,0,witness,congruent,0,0,1,2,0.41300000000000003,1.67228000000003
1,0,witness,congruent,0,0,1,1,0.43700000000000006,0.892539999999979
